idx,brand_name,cos_name,cos_img_src,grade,grade_count,price,vol,ranking,description,category,category_2
0,랩클,펩타이드 크림 스킨 모이스처라이징 토너,https://dn5hzapyfrpio.cloudfront.net/product/0ae/0aef3500-a0ac-11eb-bfec-15263a365fc3.jpeg?w=456,4.68,607,35000,150ml,크림토너 1위 랩클 2위,크림의 보습감과 토너의 산뜻함을 담아 촉촉한 피부로 관리하는 보습 토너  - 인체적용시험으로 확인된 100시간 보습 지속력 - 5종 펩타이드 함유  - 독일 더마테스트 EXCELLENT 인증,스킨케어,스킨/토너
1,시초,단델리온 래디언스 세럼 패드,https://dn5hzapyfrpio.cloudfront.net/product/e72/e728dca0-f354-11ec-be34-6176c6ef657f.jpeg?w=456,4.75,85,25000,90ea,토너패드 1위 시초 1위,맑은 피부 본연의 윤기  - 스펀 레이스 공법을 적용한 비건인증 자연유래 시트 - 피부에 보습을 부여하고 영양을 공급하여 유익한 피부 환경을 만들어주는 민들레 바이옴 함유 - 끈적임 없고 흡수가 빠른 촉촉한 유백색 세럼 제형,스킨케어,스킨/토너
2,마녀공장,판테토인 에센스 토너,https://dn5hzapyfrpio.cloudfront.net/product/d67/d673b300-eb03-11ee-bc92-0775b5b4e9c7.jpeg?w=456,4.69,421,32000,200ml,에센스토너 1위 마녀공장 1위,"깊고 빠른 보습 충전, 판테토인™ 함유 고농축 에센스 인 토너",스킨케어,스킨/토너
3,카이네,콤부 밸런싱 앰플 토너,https://dn5hzapyfrpio.cloudfront.net/product/fad/fad90870-383e-11ef-ae8a-918d7e58179a.jpeg?w=456,4.72,179,24000,150ml,에센스토너 2위 카이네 1위,"토너와 앰플을 하나로 담아낸 특별한 제형, 진정과 보습 끝판왕 토너  - 발효 콤부차수와 판테놀 함유 - 피부가 좋아하는 약산성 비건 포뮬러",스킨케어,스킨/토너
4,헉슬리,컨디셔닝 에센스 토너 프리쉐이프,https://dn5hzapyfrpio.cloudfront.net/product/138/13879870-d1ea-11ee-9c95-4b816a0e2365.jpeg?w=456,4.7,198,36000,300ml,에센스토너 3위 헉슬리 1위,모로코 선인장 발효수가 건조한 피부에 수분과 영양을 촘촘히 공급하여 피부 보습 컨디션을 올려주는 에센스 토너  - pH 6.5 약산성 토너로 민감한 피부도 순하게 케어 - 묵은 각질만을 순하게 녹여내는 효소 성분으로 데일리 각질케어가 가능한 기능성 토너 - 견고한 수분 보습막으로 24시간 내내 촉촉하게 유지,스킨케어,스킨/토너
5,잇츠스킨,파워 10 포뮬라 엘아이 젤리 패드 감초줄렌,https://dn5hzapyfrpio.cloudfront.net/product/980/9801bfb0-79ac-11ec-bdc7-0d2a9b367bb9.jpeg?w=456,4.6,1645,25000,70ea,토너패드 2위 잇츠스킨 1위,촉촉한 수분감이 빈틈없이 밀착되는 팩 겸용 진정 패드  - 건조한 피부를 편안하게 진정시킴 - 에센스를 가득 머금어 말랑말랑 젤리화 된 시트 - 굴곡진 부위에도 빈틈없이 초밀착,스킨케어,스킨/토너
6,웰라쥬,리얼 히알루로닉 100 토너,https://dn5hzapyfrpio.cloudfront.net/product/4f0/4f099f10-4086-11ee-9736-9b07020e79ca.jpeg?w=456,4.61,843,20000,200ml,워터토너 1위 웰라쥬 1위,"히알水 93%로 속수분충전! #속건조100토너  - 끈적임, 유분이 없이 산뜻하게 쏙 흡수되어 속건조 해결 - 100앰플과 사용 시 즉각적인 1.5배 #갓벽수분부스팅 효과 - 피부 각질층 20층까지 #넘사벽보습",스킨케어,스킨/토너
7,잇츠스킨,파워 10 포뮬라 엘아이 토너 패드,https://dn5hzapyfrpio.cloudfront.net/product/64a/64a4f0b0-d504-11ed-a4a5-839a5e04241c.jpeg?w=456,4.67,298,25000,60ea,토너패드 3위 잇츠스킨 2위,"매끈 진정 피부를 만드는 산뜻한 저자극 데일리 토너 패드  - 매일 써도 부담 없는 페이스 타올 원단 사용 - 매끈한 피부부터 진정까지 한 장 쏙, 저자극 데일리 각질 케어 - 수분 진정 성분 감초 + 줄렌 함유",스킨케어,스킨/토너
8,다자연,블루 아가베 포어 에센스 토너,https://dn5hzapyfrpio.cloudfront.net/product/a48/a480e9f0-a06f-11ee-900e-096d66f284b7.jpeg?w=456,4.67,272,24000,200ml,워터토너 2위 다자연 1위,촘촘히 채우기 전 쿨하게 비워내는 모공관리 비건 부스터  - 각질 정돈 및 보습효과로 늘어진 모공에 촉촉 윤광선사 - 보습 및 장벽 강화 성분으로 늘어진 모공에 촉촉 탄력 효과 - 강한 자극 없이 피부 온도를 낮춰주는 상쾌하고 쾌적한 쿨링 효과,스킨케어,스킨/토너
9,셀퓨전씨,포스트 알파 쿨링패드,https://dn5hzapyfrpio.cloudfront.net/product/578/57870440-0bf6-11ed-972f-238fd06b7478.jpeg?w=456,4.66,361,23000,70ea,토너패드 4위 셀퓨전씨 1위,패드 한 장으로 피부 온도를 빠르게 내려주는 쿨링 패드  - 빙하수를 함유하여 가볍고 시원한 에센스 제형 - 빠르고 강력한 쿨링 효과 - 열감으로 달아오른 피부 진정,스킨케어,스킨/토너
